text,date,source,month,year,BRIscore,BRIsentiment,tokenized_text
president xi plays a central role in strengthening voices of developing countries and consolidating multilateralism argentine ambassador,10/27/2022 23:24,globaltimes,10,2022,0.3818,Positive,"['president', 'xi', 'plays', 'central', 'role', 'strengthening', 'voices', 'developing', 'countries', 'consolidating', 'multilateralism', 'argentine', 'ambassador']"
trust guarantees  kazakh ambassador underlines keywords on ties with china,10/28/2022 21:18,globaltimes,10,2022,0.7322,Positive,"['trust', 'guarantees', 'kazakh', 'ambassador', 'underlines', 'keywords', 'ties', 'with', 'china']"
developed countries should help emerging economies as emissions grow report,10/27/2022 2:26,globaltimes,10,2022,0.2732,Positive,"['developed', 'countries', 'help', 'emerging', 'economies', 'emissions', 'grow', 'report']"
success in relations between china and caribbean nations testament of winwin approach under cpc leadership guyanas former president,10/27/2022 22:34,globaltimes,10,2022,0.6597,Positive,"['success', 'relations', 'china', 'caribbean', 'nations', 'testament', 'winwin', 'approach', 'cpc', 'leadership', 'guyanas', 'former', 'president']"
chinas policies contribute 06 percentage points to gdp growth imf official,10/27/2022 22:33,globaltimes,10,2022,0.3182,Positive,"['chinas', 'policies', 'contribute', '06', 'percentage', 'points', 'gdp', 'growth', 'imf', 'official']"
hear from china pakistani student impressed by warm letter from chinese president vows to be messenger of friendship,10/25/2022 16:26,globaltimes,10,2022,0.9382,Positive,"['hear', 'china', 'pakistani', 'student', 'impressed', 'warm', 'letter', 'chinese', 'president', 'vows', 'messenger', 'friendship']"
chinese researcher upends westerndominated perspectives of silk road through chinauzbekistan archaeology,10/25/2022 21:46,globaltimes,10,2022,0.8934,Positive,"['chinese', 'researcher', 'upends', 'westerndominated', 'perspectives', 'silk', 'road', 'chinauzbekistan', 'archaeology']"
chinas foreign trade up by 83 yoy in sep maintains strong growth momentum despite waning global demand,10/24/2022 13:51,globaltimes,10,2022,0.6705,Positive,"['chinas', 'foreign', 'trade', '83', 'yoy', 'sep', 'maintains', 'strong', 'growth', 'momentum', 'despite', 'waning', 'global', 'demand']"
chinaserbia ironclad friendship result of mutual respect excellent governance by cpc with promising prosperous future ahead serbian ambassador,10/24/2022 15:12,globaltimes,10,2022,0.6369,Positive,"['chinaserbia', 'ironclad', 'friendship', 'result', 'mutual', 'respect', 'excellent', 'governance', 'cpc', 'with', 'promising', 'prosperous', 'future', 'ahead', 'serbian', 'ambassador']"
chinas success comes from seeking its own form of modernization martin jacques,10/24/2022 19:47,globaltimes,10,2022,0.7269,Positive,"['chinas', 'success', 'comes', 'seeking', 'form', 'modernization', 'martin', 'jacques']"
philosophy of adaptation key to cpcs unity and advancement fostering trust among citizens kiribati ambassador,10/23/2022 17:17,globaltimes,10,2022,0.8555,Positive,"['philosophy', 'adaptation', 'key', 'cpcs', 'unity', 'advancement', 'fostering', 'trust', 'among', 'citizens', 'kiribati', 'ambassador']"
high public support attests to success of cpcs selfreform australian scholar,10/23/2022 20:50,globaltimes,10,2022,0.4939,Positive,"['high', 'public', 'support', 'attests', 'success', 'cpcs', 'selfreform', 'australian', 'scholar']"
chinafunded road project breaks ground in jordan,10/21/2022 23:29,globaltimes,10,2022,0.9538,Positive,"['chinafunded', 'road', 'project', 'breaks', 'ground', 'jordan']"
china saudi arabia vow deeper energy cooperation oil market stability,10/22/2022 1:02,globaltimes,10,2022,0.7269,Positive,"['china', 'saudi', 'arabia', 'vow', 'deeper', 'energy', 'cooperation', 'oil', 'market', 'stability']"
bri to remain bedrock for diversified stable international trade relations experts,10/20/2022 22:48,globaltimes,10,2022,0.807,Positive,"['bri', 'remain', 'bedrock', 'diversified', 'stable', 'international', 'trade', 'relations', 'experts']"
decisive leadership of cpc guides china to prosperity becomes a source of global hope in world beset by complexities,10/20/2022 23:10,globaltimes,10,2022,0.8555,Positive,"['decisive', 'leadership', 'cpc', 'guides', 'china', 'prosperity', 'becomes', 'source', 'global', 'hope', 'world', 'beset', 'complexities']"
chinas image shines brighter as it marches toward modernization goal,10/21/2022 20:04,globaltimes,10,2022,0.7906,Positive,"['chinas', 'image', 'shines', 'brighter', 'marches', 'toward', 'modernization', 'goal']"
cpc a political force with great capacity for leadership exemplarity and rootedness within chinese society brings benefit to people cuban ambassador to china,10/21/2022 20:47,globaltimes,10,2022,0.8519,Positive,"['cpc', 'political', 'force', 'with', 'great', 'capacity', 'leadership', 'exemplarity', 'rootedness', 'within', 'chinese', 'society', 'brings', 'benefit', 'people', 'cuban', 'ambassador', 'china']"
hks chief delivers his first policy address charting the city to a new journey,10/19/2022 23:12,globaltimes,10,2022,0.8481,Positive,"['hks', 'chief', 'delivers', 'first', 'policy', 'address', 'charting', 'city', 'new', 'journey']"
a vital link connecting the world,10/20/2022 20:47,globaltimes,10,2022,0.8495,Positive,"['vital', 'link', 'connecting', 'world']"
europes first 5goperated logistics terminal opens in hungary,10/19/2022 8:19,globaltimes,10,2022,0.3182,Positive,"['europes', 'first', '5goperated', 'logistics', 'terminal', 'opens', 'hungary']"
hong kong ce john lee delivers his first policy address aiming at enhancing citys competitiveness,10/19/2022 11:29,globaltimes,10,2022,0.6249,Positive,"['hong', 'kong', 'ce', 'john', 'lee', 'delivers', 'first', 'policy', 'address', 'aiming', 'enhancing', 'citys', 'competitiveness']"
hear from china png young table tennis player who receives reply letter from xi looks forward to making greater contribution to promote bilateral ties with china,10/19/2022 16:41,globaltimes,10,2022,0.4404,Positive,"['hear', 'china', 'png', 'young', 'table', 'tennis', 'player', 'receives', 'reply', 'letter', 'xi', 'looks', 'forward', 'making', 'greater', 'contribution', 'promote', 'bilateral', 'ties', 'with', 'china']"
resilience in chinas foreign trade will still sustain asia as the hub of global trade,10/19/2022 20:25,globaltimes,10,2022,0.9459,Positive,"['resilience', 'chinas', 'foreign', 'trade', 'still', 'sustain', 'asia', 'hub', 'global', 'trade']"
us oil for security formula faces setback as saudi arabia shows interest in joining brics,10/19/2022 22:06,globaltimes,10,2022,0.7178,Positive,"['us', 'oil', 'security', 'formula', 'faces', 'setback', 'saudi', 'arabia', 'shows', 'interest', 'joining', 'brics']"
china to march toward modernization set to overcome headwinds with institutional advantage,10/17/2022 23:16,globaltimes,10,2022,0.7579,Positive,"['china', 'march', 'toward', 'modernization', 'set', 'overcome', 'headwinds', 'with', 'institutional', 'advantage']"
largest chinainvested coalfired power plant in turkey now operational,10/18/2022 15:06,globaltimes,10,2022,0.5423,Positive,"['largest', 'chinainvested', 'coalfired', 'power', 'plant', 'turkey', 'operational']"
bri remains open inclusive for all transcends the outdated mentality of geopolitical games,10/18/2022 17:51,globaltimes,10,2022,0.5719,Positive,"['bri', 'remains', 'open', 'inclusive', 'transcends', 'outdated', 'mentality', 'geopolitical', 'games']"
an inspiration to a bright future,10/18/2022 19:59,globaltimes,10,2022,0.7148,Positive,"['inspiration', 'bright', 'future']"
profound message global youth inspired by xis reply letters to develop close bonds share the future,10/18/2022 22:22,globaltimes,10,2022,0.93,Positive,"['profound', 'message', 'global', 'youth', 'inspired', 'xis', 'reply', 'letters', 'develop', 'close', 'bonds', 'share', 'future']"
chinas rejuvenation built on perseverance pragmatism winwin results,10/16/2022 23:46,globaltimes,10,2022,0.9371,Positive,"['chinas', 'rejuvenation', 'built', 'perseverance', 'pragmatism', 'winwin', 'results']"
cpc charts course for modern socialist china in all respects,10/17/2022 2:02,globaltimes,10,2022,0.6872,Positive,"['cpc', 'charts', 'course', 'modern', 'socialist', 'china', 'respects']"
hong kong mulls new policies to make itself a global virtual assets trading center official,10/17/2022 19:42,globaltimes,10,2022,0.8176,Positive,"['hong', 'kong', 'mulls', 'new', 'policies', 'make', 'global', 'virtual', 'assets', 'trading', 'center', 'official']"
words from a leader how reply letters from xi warm and encourage chinas international friends,10/17/2022 20:56,globaltimes,10,2022,0.7717,Positive,"['words', 'leader', 'reply', 'letters', 'xi', 'warm', 'encourage', 'chinas', 'international', 'friends']"
china to accelerate creating new development pattern pursue highquality development xi,10/16/2022 11:36,globaltimes,10,2022,0.5994,Positive,"['china', 'accelerate', 'creating', 'new', 'development', 'pattern', 'pursue', 'highquality', 'development', 'xi']"
chinas crrc qiqihar branch exports largest railway flat wagon to tanzania,10/16/2022 11:56,globaltimes,10,2022,0.4939,Positive,"['chinas', 'crrc', 'qiqihar', 'branch', 'exports', 'largest', 'railway', 'flat', 'wagon', 'tanzania']"
new journey to the next glorious century,10/16/2022 20:50,globaltimes,10,2022,0.7175,Positive,"['new', 'journey', 'next', 'glorious', 'century']"
chinese vice president stresses firm support of both countries core interests in meeting with kazakh president,10/14/2022 1:56,globaltimes,10,2022,0.5719,Positive,"['chinese', 'vice', 'president', 'stresses', 'firm', 'support', 'countries', 'core', 'interests', 'meeting', 'with', 'kazakh', 'president']"
indonesian president to present achievements of jakartabandung railway at g20 summit,10/13/2022 20:52,globaltimes,10,2022,0.9694,Positive,"['indonesian', 'president', 'present', 'achievements', 'jakartabandung', 'railway', 'g20', 'summit']"
china uae witness fruitful achievements under bri,10/13/2022 22:13,globaltimes,10,2022,0.4588,Positive,"['china', 'uae', 'witness', 'fruitful', 'achievements', 'bri']"
world amazed by cpcs decade of achievement anticipates impactful decisions from party congress for peace prosperity former uzbek deputy pm,10/12/2022 21:36,globaltimes,10,2022,0.469,Positive,"['world', 'amazed', 'cpcs', 'decade', 'achievement', 'anticipates', 'impactful', 'decisions', 'party', 'congress', 'peace', 'prosperity', 'former', 'uzbek', 'deputy', 'pm']"
website of media center for party congress opens key political event expected to inject stability to china world,10/10/2022 22:46,globaltimes,10,2022,0.7964,Positive,"['website', 'media', 'center', 'party', 'congress', 'opens', 'key', 'political', 'event', 'expected', 'inject', 'stability', 'china', 'world']"
development is best way to evaluate chinas achievements in last decade african union ambassador,10/11/2022 20:18,globaltimes,10,2022,0.7506,Positive,"['development', 'best', 'way', 'evaluate', 'chinas', 'achievements', 'last', 'decade', 'african', 'union', 'ambassador']"
envoy paints positive picture of chinaguyana friendship hailing cpcs exemplary leadership vision,10/11/2022 20:32,globaltimes,10,2022,0.5859,Positive,"['envoy', 'paints', 'positive', 'picture', 'chinaguyana', 'friendship', 'hailing', 'cpcs', 'exemplary', 'leadership', 'vision']"
china to play greater role in global economic growth but faces uncertainty from geopolitical risks senior un economist,10/11/2022 20:37,globaltimes,10,2022,0.8625,Positive,"['china', 'play', 'greater', 'role', 'global', 'economic', 'growth', 'faces', 'uncertainty', 'geopolitical', 'risks', 'senior', 'un', 'economist']"
china eu extend currency swap for 3 yrs in fresh sign of close economic ties,10/10/2022 22:03,globaltimes,10,2022,0.4215,Positive,"['china', 'eu', 'extend', 'currency', 'swap', '3', 'yrs', 'fresh', 'sign', 'close', 'economic', 'ties']"
global development initiative a constructive approach toward building a cooperative system jeffrey sachs,10/9/2022 16:36,globaltimes,10,2022,0.9477,Positive,"['global', 'development', 'initiative', 'constructive', 'approach', 'toward', 'building', 'cooperative', 'system', 'jeffrey', 'sachs']"
chinas economic blueprint institutional advantage invaluable german scholar,10/9/2022 21:16,globaltimes,10,2022,0.8591,Positive,"['chinas', 'economic', 'blueprint', 'institutional', 'advantage', 'invaluable', 'german', 'scholar']"
china committed to helping developing countries fm said after photos of foreign landmarks built by china went viral,10/8/2022 19:46,globaltimes,10,2022,0.7152,Positive,"['china', 'committed', 'helping', 'developing', 'countries', 'fm', 'said', 'photos', 'foreign', 'landmarks', 'built', 'china', 'went', 'viral']"
chinafunded conservatory in lebanon to be center of attraction in mideast lebanese pm,10/7/2022 9:08,globaltimes,10,2022,0.9648,Positive,"['chinafunded', 'conservatory', 'lebanon', 'center', 'attraction', 'mideast', 'lebanese', 'pm']"
petrochinas oil field project in iraq turns wasteland into vibrant town,10/5/2022 17:41,globaltimes,10,2022,0.9509,Positive,"['petrochinas', 'oil', 'field', 'project', 'iraq', 'turns', 'wasteland', 'vibrant', 'town']"
chinaphilippines relations expected to usher in a new golden era with infrastructure cooperation a major highlight envoy,9/28/2022 21:03,globaltimes,9,2022,0.8299,Positive,"['chinaphilippines', 'relations', 'expected', 'usher', 'new', 'golden', 'era', 'with', 'infrastructure', 'cooperation', 'major', 'highlight', 'envoy']"
chinalaos railway marks bridge of friendship prosperity,9/28/2022 21:41,globaltimes,9,2022,0.5719,Positive,"['chinalaos', 'railway', 'marks', 'bridge', 'friendship', 'prosperity']"
china ready to work with g20 members in promoting wto reform official,9/25/2022 12:26,globaltimes,9,2022,0.8591,Positive,"['china', 'ready', 'work', 'with', 'g20', 'members', 'promoting', 'wto', 'reform', 'official']"
china will do all it can for world peaceful development chinese sc and fm,9/25/2022 15:18,globaltimes,9,2022,0.9979,Positive,"['china', 'world', 'peaceful', 'development', 'chinese', 'sc', 'fm']"
china has made amazing efforts and achievements over past decade saudi arabia ambassador,9/23/2022 20:22,globaltimes,9,2022,0.4588,Positive,"['china', 'made', 'amazing', 'efforts', 'achievements', 'past', 'decade', 'saudi', 'arabia', 'ambassador']"
expo in urumqi marked by growing crossborder investment partnership between china and central asian countries,9/22/2022 20:15,globaltimes,9,2022,0.5106,Positive,"['expo', 'urumqi', 'marked', 'growing', 'crossborder', 'investment', 'partnership', 'china', 'central', 'asian', 'countries']"
china signs cooperation memorandum with laos kazakhstan to establish yuan clearing arrangements,9/21/2022 1:16,globaltimes,9,2022,0.7783,Positive,"['china', 'signs', 'cooperation', 'memorandum', 'with', 'laos', 'kazakhstan', 'establish', 'yuan', 'clearing', 'arrangements']"
chinaeurasia expo kicks off in xinjiang rebukes usled crackdown,9/19/2022 23:29,globaltimes,9,2022,0.5994,Positive,"['chinaeurasia', 'expo', 'kicks', 'xinjiang', 'rebukes', 'usled', 'crackdown']"
talks emerge over a potential sco ftz with nwchinas xinjiang as hub,9/20/2022 22:42,globaltimes,9,2022,0.8316,Positive,"['talks', 'emerge', 'potential', 'sco', 'ftz', 'with', 'nwchinas', 'xinjiang', 'hub']"
china mulls ramping up border travel market management,9/19/2022 22:00,globaltimes,9,2022,0.9546,Positive,"['china', 'mulls', 'ramping', 'border', 'travel', 'market', 'management']"
peace and development key message of president xis central asia visit before the party congress,9/17/2022 22:05,globaltimes,9,2022,0.9367,Positive,"['peace', 'development', 'key', 'message', 'president', 'xis', 'central', 'asia', 'visit', 'party', 'congress']"
xis key visit to casia shows chinas strategic vision charms sco summit with hopes opportunities and certainty,9/15/2022 23:31,globaltimes,9,2022,0.9998,Positive,"['xis', 'key', 'visit', 'casia', 'shows', 'chinas', 'strategic', 'vision', 'charms', 'sco', 'summit', 'with', 'hopes', 'opportunities', 'certainty']"
china belarus upgrade bilateral relations to boost twoway cooperation regional stability and prosperity amid unilateral sanctions and threat of external interference,9/16/2022 10:12,globaltimes,9,2022,0.4939,Positive,"['china', 'belarus', 'upgrade', 'bilateral', 'relations', 'boost', 'twoway', 'cooperation', 'regional', 'stability', 'prosperity', 'amid', 'unilateral', 'sanctions', 'threat', 'external', 'interference']"
xi meets with iranian president ebrahim raisi,9/16/2022 14:40,globaltimes,9,2022,0.9062,Positive,"['xi', 'meets', 'with', 'iranian', 'president', 'ebrahim', 'raisi']"
chinarussiamongolia summit secures infrastructure and energy connectivity enhances regional trust,9/16/2022 18:07,globaltimes,9,2022,0.8553,Positive,"['chinarussiamongolia', 'summit', 'secures', 'infrastructure', 'energy', 'connectivity', 'enhances', 'regional', 'trust']"
china kazakhstan issue joint statement on 30year relations,9/15/2022 11:00,globaltimes,9,2022,0.9628,Positive,"['china', 'kazakhstan', 'issue', 'joint', 'statement', '30year', 'relations']"
inner mongolia sees brisk trade as exports jump 331 imports rise 125 in 8 months,9/15/2022 17:46,globaltimes,9,2022,0.5423,Positive,"['inner', 'mongolia', 'sees', 'brisk', 'trade', 'exports', 'jump', '331', 'imports', 'rise', '125', '8', 'months']"
xi putin meet at sco summit forging closer ties amid uscaused world turbulence,9/15/2022 21:05,globaltimes,9,2022,0.8126,Positive,"['xi', 'putin', 'meet', 'sco', 'summit', 'forging', 'closer', 'ties', 'amid', 'uscaused', 'world', 'turbulence']"
chinakyrgyzstanuzbekistan railway to open southern eurasia corridorfacilitates bri cooperation with central asia analysts,9/15/2022 22:27,globaltimes,9,2022,0.2732,Positive,"['chinakyrgyzstanuzbekistan', 'railway', 'open', 'southern', 'eurasia', 'corridorfacilitates', 'bri', 'cooperation', 'with', 'central', 'asia', 'analysts']"
xis kazakhstan visit a monumental reflection on bri cooperation between china and central asia,9/14/2022 20:51,globaltimes,9,2022,0.3612,Positive,"['xis', 'kazakhstan', 'visit', 'monumental', 'reflection', 'bri', 'cooperation', 'china', 'central', 'asia']"
sco can set example of conflict mitigation,9/14/2022 22:16,globaltimes,9,2022,0.9403,Positive,"['sco', 'set', 'example', 'conflict', 'mitigation']"
western summits just talking clubs than providing tangible help to africa,9/13/2022 21:19,globaltimes,9,2022,0.2732,Positive,"['western', 'summits', 'talking', 'clubs', 'providing', 'tangible', 'help', 'africa']"
xi to attend sco summit in first foreign visit since pandemic showing focus on neighborhood diplomacy,9/12/2022 15:09,globaltimes,9,2022,0.997,Positive,"['xi', 'attend', 'sco', 'summit', 'first', 'foreign', 'visit', 'since', 'pandemic', 'showing', 'focus', 'neighborhood', 'diplomacy']"
a latenight phone call prompt action and solid fraternity,9/10/2022 10:32,globaltimes,9,2022,0.8957,Positive,"['latenight', 'phone', 'call', 'prompt', 'action', 'solid', 'fraternity']"
close friendship with china is nepals choice chinas second centennial goal definitely to be achieved nepali envoy,9/6/2022 23:15,globaltimes,9,2022,0.3804,Positive,"['close', 'friendship', 'with', 'china', 'nepals', 'choice', 'chinas', 'second', 'centennial', 'goal', 'definitely', 'achieved', 'nepali', 'envoy']"
bri contributes to the devt of nepal,9/6/2022 23:19,globaltimes,9,2022,0.8176,Positive,"['bri', 'contributes', 'devt', 'nepal']"
west skips climate summit helping africas climate adaptation with empty cheque and indifferent attitude,9/6/2022 23:40,globaltimes,9,2022,0.2732,Positive,"['west', 'skips', 'climate', 'summit', 'helping', 'africas', 'climate', 'adaptation', 'with', 'empty', 'cheque', 'indifferent', 'attitude']"
after the establishment of diplomatic relations with china it is like we are on a highspeed train,9/6/2022 21:53,globaltimes,9,2022,0.3818,Positive,"['establishment', 'diplomatic', 'relations', 'with', 'china', 'like', 'highspeed', 'train']"
china steps up arbitration of international business disputes report,9/5/2022 16:33,globaltimes,9,2022,0.5859,Positive,"['china', 'steps', 'arbitration', 'international', 'business', 'disputes', 'report']"
ecommerce dimension to bri in focus at 2022 ciftis,9/5/2022 19:58,globaltimes,9,2022,0.7841,Positive,"['ecommerce', 'dimension', 'bri', 'focus', '2022', 'ciftis']"
ecommerce dimension to bri in focus at services trade fair in beijing,9/4/2022 19:48,globaltimes,9,2022,0.7841,Positive,"['ecommerce', 'dimension', 'bri', 'focus', 'services', 'trade', 'fair', 'beijing']"
chinalaos railway hits milestone after 9 months of services expected to further expand,9/4/2022 20:04,globaltimes,9,2022,0.7269,Positive,"['chinalaos', 'railway', 'hits', 'milestone', '9', 'months', 'services', 'expected', 'expand']"
adventures on the new silk road depicts moving stories of bri,9/3/2022 11:50,globaltimes,9,2022,0.4215,Positive,"['adventures', 'new', 'silk', 'road', 'depicts', 'moving', 'stories', 'bri']"
the second conference on highquality development and international cooperation of chinese cities held in beijing,9/1/2022 20:54,globaltimes,9,2022,0.6249,Positive,"['second', 'conference', 'highquality', 'development', 'international', 'cooperation', 'chinese', 'cities', 'held', 'beijing']"
courage of uk business community should have shamed some politicians global times editorial,8/30/2022 0:24,globaltimes,8,2022,0.8678,Positive,"['courage', 'uk', 'business', 'community', 'shamed', 'politicians', 'global', 'times', 'editorial']"
northwestern xinjiang has one more expressway opening to traffic,8/30/2022 14:55,globaltimes,8,2022,0.8126,Positive,"['northwestern', 'xinjiang', 'one', 'expressway', 'opening', 'traffic']"
china vows new measures to expand market access attract foreign investment,8/30/2022 21:33,globaltimes,8,2022,0.836,Positive,"['china', 'vows', 'new', 'measures', 'expand', 'market', 'access', 'attract', 'foreign', 'investment']"
australian fm visits png nominally for cooperation to conceal veiled aim to sow discord through china debt trap narrative coercion,8/30/2022 22:12,globaltimes,8,2022,0.6908,Positive,"['australian', 'fm', 'visits', 'png', 'nominally', 'cooperation', 'conceal', 'veiled', 'aim', 'sow', 'discord', 'china', 'debt', 'trap', 'narrative', 'coercion']"
chinaasean twoway investment exceeds 340b by july amid active cooperation,8/29/2022 20:25,globaltimes,8,2022,0.7351,Positive,"['chinaasean', 'twoway', 'investment', 'exceeds', '340b', 'july', 'amid', 'active', 'cooperation']"
ukraine war a warning to small countries over joining great power conflicts as a junior partner friendship medalist,8/28/2022 20:33,globaltimes,8,2022,0.8481,Positive,"['ukraine', 'war', 'warning', 'small', 'countries', 'joining', 'great', 'power', 'conflicts', 'junior', 'partner', 'friendship', 'medalist']"
exclusive chinese embassy in cambodia receives more than 10 requests for help from scam victims from taiwan island,8/25/2022 17:33,globaltimes,8,2022,0.4998,Positive,"['exclusive', 'chinese', 'embassy', 'cambodia', 'receives', '10', 'requests', 'help', 'scam', 'victims', 'taiwan', 'island']"
south korea expected to make pragmatic decision on bri as initiative set to align with its economic plan facilitate thirdmarket cooperation,8/25/2022 20:32,globaltimes,8,2022,0.7351,Positive,"['south', 'korea', 'expected', 'make', 'pragmatic', 'decision', 'bri', 'initiative', 'set', 'align', 'with', 'economic', 'plan', 'facilitate', 'thirdmarket', 'cooperation']"
sco banks to prompt collaboration in key areas to boost regional economic recovery,8/24/2022 1:03,globaltimes,8,2022,0.7964,Positive,"['sco', 'banks', 'prompt', 'collaboration', 'key', 'areas', 'boost', 'regional', 'economic', 'recovery']"
breaking through us siege depends on madeinchina reaching outward,8/24/2022 20:00,globaltimes,8,2022,0.4767,Positive,"['breaking', 'us', 'siege', 'depends', 'madeinchina', 'reaching', 'outward']"
china begins shipment of 350 kmh highspeed trains to indonesia overseas railway project provides new momentum to bri,8/22/2022 19:36,globaltimes,8,2022,0.5994,Positive,"['china', 'begins', 'shipment', '350', 'kmh', 'highspeed', 'trains', 'indonesia', 'overseas', 'railway', 'project', 'provides', 'new', 'momentum', 'bri']"
chinas visible achievement in high tech green energy inspires pics fijian envoy,8/22/2022 22:02,globaltimes,8,2022,0.886,Positive,"['chinas', 'visible', 'achievement', 'high', 'tech', 'green', 'energy', 'inspires', 'pics', 'fijian', 'envoy']"
chinaeurope freight trains exceed 10000 so far in 2022 beating last years record 10 days earlier,8/21/2022 12:01,globaltimes,8,2022,0.4939,Positive,"['chinaeurope', 'freight', 'trains', 'exceed', '10000', 'far', '2022', 'beating', 'last', 'years', 'record', '10', 'days', 'earlier']"
talent in chinese government is undeniably very strong peter walker,8/21/2022 14:21,globaltimes,8,2022,0.7964,Positive,"['talent', 'chinese', 'government', 'undeniably', 'strong', 'peter', 'walker']"
chinaceec cooperation under the bri remains a key window for future economic and trade ties despite external disruptions,8/18/2022 19:18,globaltimes,8,2022,0.5627,Positive,"['chinaceec', 'cooperation', 'bri', 'remains', 'key', 'window', 'future', 'economic', 'trade', 'ties', 'despite', 'external', 'disruptions']"
bri a strong mutually beneficial link between china ceec north macedonian scholar,8/17/2022 18:02,globaltimes,8,2022,0.5574,Positive,"['bri', 'strong', 'mutually', 'beneficial', 'link', 'china', 'ceec', 'north', 'macedonian', 'scholar']"
chinas research vessel yuan wang 5 docks at sri lankan port dispels indias alienation of ties,8/16/2022 22:14,globaltimes,8,2022,0.9778,Positive,"['chinas', 'research', 'vessel', 'yuan', 'wang', '5', 'docks', 'sri', 'lankan', 'port', 'dispels', 'indias', 'alienation', 'ties']"
chinas cultural preservation efforts save kirgiz epic,8/15/2022 20:49,globaltimes,8,2022,0.6908,Positive,"['chinas', 'cultural', 'preservation', 'efforts', 'save', 'kirgiz', 'epic']"
survey says china ahead of us in popularity among arab people,8/12/2022 22:23,globaltimes,8,2022,0.8399,Positive,"['survey', 'says', 'china', 'ahead', 'us', 'popularity', 'among', 'arab', 'people']"
blinken visit a diplomatic show no help for africa scholar,8/11/2022 21:32,globaltimes,8,2022,0.6369,Positive,"['blinken', 'visit', 'diplomatic', 'show', 'no', 'help', 'africa', 'scholar']"
